Benefit,Interval,Requirements
Breastfeeding Support, Supplies and Counseling,In Conjunction with each birth,"Interventions during pregnancy and after birth to support breastfeeding. Costs for renting breastfeeding equipment will be covered in conjunction with each birth."
Cervical Cancer Screening: with Cytology (Pap Smear),1 time every 3 plan years,"Women age 21 to 65 years with cervical cytology."
Cervical Cancer Screening: with Combination of Cytology and Human Papilloma Virus (HPV) testing,1 time every 5 plan years,"Women age 30 to 65 years with high-risk papillomavirus (hrHPV) testing alone, or every 5 years with hrHPV testing in combination with cytology."
Chlamydia Screening,1 per plan year,"Sexually active women age 24 and younger and in older women who are at increased risk infection."
Colorectal Cancer Screening benefit subject to at home test kit for initial screening. If positive, the plan will provide benefits for a colonoscopy.,1 time every 5 plan years,"Starting in adults age 50 years and continuing until age 75 years."
Contraceptive Methods and Counseling,As prescribed,"Food and Drug Administration (FDA) approved contraceptive methods, sterilization procedures, and patient education and counseling for all women with reproductive capacity, not including abortifacient drugs."
Dental Caries Prevention: Infants and Children Up to Age 5,1 per plan year,"Application of fluoride varnish to the primary teeth of all infants and children starting at the age of primary tooth eruption. Prescribe oral fluoride supplementation starting at age 6 months for children whose water supply is fluoride deficient."
Depression Screening,1 per plan year,"Screening for major depressive disorder (MDD) in adolescents aged 12 to 18 years. Screening should be implemented with adequate systems in place to ensure accurate diagnosis, effective treatment, and appropriate follow-up. Screening for depression in the general adult population, including pregnant and postpartum women. Screening should be implemented with adequate systems in place to ensure accurate diagnosis, effective treatment, and appropriate follow-up. Pregnant and postpartum persons at increased risk of perinatal depression should be referred to counseling interventions."
Diabetes Screening,1 per plan year,"Screening for abnormal blood glucose as part of cardiovascular risk assessment in adults aged 40 to 70 years who are overweight or obese. Clinicians should offer or refer patients with abnormal blood glucose to intensive behavioral counseling interventions to promote a healthful diet and physical activity."
Fall Prevention: Older Adults,1 per plan year,"Exercise interventions for community-dwelling adults age 65 years and older who are at increased risk for falls."
Folic Acid Supplementation,As prescribed,"Daily supplement containing 0.4 to 0.8 mg (400 to 800µg) of folic acid for all women planning or capable of pregnancy."
Gestational Diabetes Mellitus Screening,1 per plan year,"Asymptomatic pregnant women after 24 weeks of gestation."
