Benefit,Interval,Requirements
Gonorrhea Prophylactic Medication,As prescribed,"Prophylactic ocular topical medication for all newborns for the prevention of gonococcal ophthalmia neonatorum."
Gonorrhea Screening,1 per plan year,"Sexually active women age 24 years or younger and in older women who are at increased risk for infection."
Healthy Diet and Physical Activity Counseling to Prevent Cardiovascular Disease,1 per plan year,"Adults who are overweight or obese and have additional cardiovascular disease (CVD) risk factors to intensive behavioral counseling interventions to promote a healthful diet and physical activity for CVD prevention."
Hemoglobinopathies Screening,1 per plan year,"Screening for sickle cell disease in newborns."
Hepatitis B Screening,1 per plan year,"Non-pregnant adolescents and adults at high risk for infection."
Hepatitis C Virus (HCV) Infection Screening,1 per plan year,"Pregnant women at their first prenatal visit."
High Blood Pressure Screening,1 per plan year,"Persons at high risk for infection and Adults born between 1945 and 1965."
HIV Preexposure Prophylaxis for the Prevention of HIV Infection,As prescribed,"Screening for high blood pressure in adults aged 18 or older."
HIV Screening,1 per plan year,"Persons who are at high risk of HIV acquisition. Adolescents and adults aged 15 to 65 years. Younger adolescents and older adults who are at increased risk should also be screened."
Hypothyroidism Screening,1 per plan year,"Pregnant women including those who present in labor, who are untested and whose HIV status is unknown."
Intimate Partner Violence Screening,1 per plan year,"Screening for congenital hypothyroidism in newborns."
Lung Cancer Screening,1 per plan year,"Screening for intimate partner violence, in women of reproductive age and provide or refer women who screen positive to ongoing supporting services."
Obesity screening and Counseling,1 per plan year,"With low-dose computed tomography in adults aged 55 to 80 years who have a 30 pack-year smoking history and currently smoke or have quit within the past 15 years. Screening should be discontinued once a person has not smoked for 15 years or develops a health problem that substantially limits life expectancy or the ability or willingness to have curative lung surgery."
Osteoporosis Screening,1 per plan year,"To children and adolescents 6 years and older and offer or refer them to comprehensive, intensive behavioral interventions to promote improvements in weight status."
Phenylketonuria Screening,1 per plan year,"Screening all adults. Clinicians should offer or refer patients with a body mass index of 30 kg/m2 or higher to intensive, multicomponent behavioral interventions."
,,,"In women aged 65 and older and in younger postmenopausal women at increased risk of osteoporosis."
,,,"Screening for phenylketonuria in newborns."
