```
Description of Association Member Benefit Package	Basic Bundle	OneCard Doctor Bundle
Medical Bill Repricing	Included	Included
$25 Prepay Doctor Visits		
Reference Based Pricing	Included	Included
Reducing Medical Providers Rates		
Advocacy/Concierge Service	Included	Included
Personal help in navigating your health plan, filing claims and repricing network reductions		
No Cost Virtual Doctor Visits	—	Included
Unlimited Virtual Doctor Consultations		
FREE Prescription Club	—	included
90% of Most Commonly Prescribed Medications FREE!		
Prescription Program	Included	Included
Mail Order Pharmacy	Included	Included
Entertainment Package	Included	Included
Direct Lab Testing	—	Included
Pryor Learning	—	Included
MRI and CT Scans	—	Included
Diabetic Supplies	—	Included
Medical Supplies	—	Included
Online Health Manager	—	Included
Online Fitness & Nutrition	—	Included
Alternative Wellness	—	Included
```
