```
Description of Association Member Benefit Package	Basic Bundle	OneCard Doctor Bundle
Medical Bill Repricing	Included	Included
Reference Based Pricing	Included	Included
Advocacy/Concierge Service	Included	Included
No Cost Virtual Doctor Visits	—	Included
FREE Prescription Club	—	included
Prescription Program	included	included
Mail Order Pharmacy	included	included
Entertainment Package	included	included
Direct Lab Testing	—	included
Pryor Learning	—	included
MRI and CT Scans	—	included
Diabetic Supplies	—	included
Medical Supplies	—	included
Online Health Manager	—	included
Online Fitness & Nutrition	—	included
Alternative Wellness	—	included
```
